Parameter,Layer,Value,Command,Daytime
Layers.info,10,0,upd,201105.1424+1
Layers.info,11,Number,old,201105.1424+1
Layers.info,11,10,old,201105.1424+1
Layers.info,11,11,upd,201105.1424+1
Layers.info,11,Age,old,201105.1424+1
Layers.info,11,224.00,old,201105.1424+1
Layers.info,11,224.000,upd,201105.1424+1
Layers.info,12,Number,old,201105.1424+1
Layers.info,12,11,old,201105.1424+1
Layers.info,12,12,upd,201105.1424+1
Layers.info,12,Age,old,201105.1424+1
Layers.info,12,294.00,old,201105.1424+1
Layers.info,12,294.000,upd,201105.1424+1
Project.info,23, ,ins,201105.1424+1
Project.info,23,Project.Horizon.unit,ins,201105.1424+1
Project.info,23,Project.Horizon.unit,old,201105.1424+1
Project.info,23, ,old,201105.1424+1
Project.info,23,m,upd,201105.1424+1
SaveMirp,966111439,MigriAlfa-3, ,201105.1424+1
LoadNewMirp,966111439,MigriAlfa-3,win.201104,201105.1424+1
Geometry,2,MigriAlfa-3, ,201105.1424+1
LoadMirp,966111439,MigriAlfa-3,win.201104,201105.1425+1
Project.T.adjust,1, ,old,201105.1428+1
Project.T.adjust,1,1.4,use,201105.1428+1
SaveMirp,591832329,MigriAlfa-3, ,201105.1428+1
