DEPTH,Northing,Easting,PHI,Vsh,Easting,Northing
 0.9295000E+03,0.6856000E+07,0.5040000E+06,0.2251255E+00,0.7142857E+00,0.1720038E-38,0.1401298E-44,
 0.9305000E+03,0.6856000E+07,0.5040000E+06,0.2175051E+00,0.7416667E+00,0.1720038E-38,0.1401298E-44,
 0.9315000E+03,0.6856000E+07,0.5040000E+06,0.2376017E+00,0.7114286E+00,0.1720038E-38,0.1401298E-44,
 0.9325000E+03,0.6856000E+07,0.5040000E+06,0.2446364E+00,0.6950000E+00,0.1720038E-38,0.1401298E-44,
 0.9335000E+03,0.6856000E+07,0.5040000E+06,0.2365281E+00,0.6857143E+00,0.1720038E-38,0.1401298E-44,
 0.9345000E+03,0.6856000E+07,0.5040000E+06,0.2380505E+00,0.7100000E+00,0.1720038E-38,0.1401298E-44,
 0.9355000E+03,0.6856000E+07,0.5040000E+06,0.2312035E+00,0.7200000E+00,0.1720038E-38,0.1401298E-44,
 0.9365000E+03,0.6856000E+07,0.5040000E+06,0.2150707E+00,0.7233334E+00,0.1720038E-38,0.1401298E-44,
 0.9375000E+03,0.6856000E+07,0.5040000E+06,0.2533247E+00,0.7114286E+00,0.1720038E-38,0.1401298E-44,
 0.9385000E+03,0.6856000E+07,0.5040000E+06,0.2645628E+00,0.6785714E+00,0.1720038E-38,0.1401298E-44,
 0.9395000E+03,0.6856000E+07,0.5040000E+06,0.2145758E+00,0.6900000E+00,0.1720038E-38,0.1401298E-44,
 0.9405000E+03,0.6856000E+07,0.5040000E+06,0.2298442E+00,0.6957143E+00,0.1720038E-38,0.1401298E-44,
 0.9415000E+03,0.6856000E+07,0.5040000E+06,0.2238788E+00,0.6683333E+00,0.1720038E-38,0.1401298E-44,
 0.9425000E+03,0.6856000E+07,0.5040000E+06,0.2390909E+00,0.7285714E+00,0.1720038E-38,0.1401298E-44,
 0.9435000E+03,0.6856000E+07,0.5040000E+06,0.2229798E+00,0.6850000E+00,0.1720038E-38,0.1401298E-44,
 0.9445000E+03,0.6856000E+07,0.5040000E+06,0.2228398E+00,0.6514286E+00,0.1720038E-38,0.1401298E-44,
 0.9455000E+03,0.6856000E+07,0.5040000E+06,0.2759697E+00,0.7350000E+00,0.1720038E-38,0.1401298E-44,
 0.9465000E+03,0.6856000E+07,0.5040000E+06,0.2030390E+00,0.6214285E+00,0.1720038E-38,0.1401298E-44,
 0.9475000E+03,0.6856000E+07,0.5040000E+06,0.2122944E+00,0.6500000E+00,0.1720038E-38,0.1401298E-44,
 0.9485000E+03,0.6856000E+07,0.5040000E+06,0.2065656E+00,0.6216667E+00,0.1720038E-38,0.1401298E-44,
 0.9495000E+03,0.6856000E+07,0.5040000E+06,0.1973333E+00,0.6371428E+00,0.1720038E-38,0.1401298E-44,
 0.9505000E+03,0.6856000E+07,0.5040000E+06,0.2003838E+00,0.6433333E+00,0.1720038E-38,0.1401298E-44,
 0.9515000E+03,0.6856000E+07,0.5040000E+06,0.2118961E+00,0.6100000E+00,0.1720038E-38,0.1401298E-44,
 0.9525000E+03,0.6856000E+07,0.5040000E+06,0.2075758E+00,0.6483333E+00,0.1720038E-38,0.1401298E-44,
 0.9535000E+03,0.6856000E+07,0.5040000E+06,0.2093247E+00,0.6585714E+00,0.1720038E-38,0.1401298E-44,
 0.9545000E+03,0.6856000E+07,0.5040000E+06,0.2276623E+00,0.6900000E+00,0.1720038E-38,0.1401298E-44,
 0.9555000E+03,0.6856000E+07,0.5040000E+06,0.1817576E+00,0.6650000E+00,0.1720038E-38,0.1401298E-44,
 0.9565000E+03,0.6856000E+07,0.5040000E+06,0.2107273E+00,0.6800000E+00,0.1720038E-38,0.1401298E-44,
 0.9575000E+03,0.6856000E+07,0.5040000E+06,0.2235657E+00,0.6883333E+00,0.1720038E-38,0.1401298E-44,
 0.9585000E+03,0.6856000E+07,0.5040000E+06,0.2177662E+00,0.6957143E+00,0.1720038E-38,0.1401298E-44,
 0.9595000E+03,0.6856000E+07,0.5040000E+06,0.2268081E+00,0.6733333E+00,0.1720038E-38,0.1401298E-44,
 0.9605000E+03,0.6856000E+07,0.5040000E+06,0.2197749E+00,0.6514286E+00,0.1720038E-38,0.1401298E-44,
 0.9615000E+03,0.6856000E+07,0.5040000E+06,0.1853636E+00,0.6750000E+00,0.1720038E-38,0.1401298E-44,
 0.9625000E+03,0.6856000E+07,0.5040000E+06,0.1976017E+00,0.6685714E+00,0.1720038E-38,0.1401298E-44,
 0.9635000E+03,0.6856000E+07,0.5040000E+06,0.1936017E+00,0.6228572E+00,0.1720038E-38,0.1401298E-44,
 0.9645000E+03,0.6856000E+07,0.5040000E+06,0.2052828E+00,0.6516666E+00,0.1720038E-38,0.1401298E-44,
 0.9655000E+03,0.6856000E+07,0.5040000E+06,0.2160606E+00,0.6414286E+00,0.1720038E-38,0.1401298E-44,
 0.9665000E+03,0.6856000E+07,0.5040000E+06,0.2083131E+00,0.6433333E+00,0.1720038E-38,0.1401298E-44,
 0.9675000E+03,0.6856000E+07,0.5040000E+06,0.1425628E+00,0.6385714E+00,0.1720038E-38,0.1401298E-44,
 0.9685000E+03,0.6856000E+07,0.5040000E+06,0.2031111E+00,0.6516666E+00,0.1720038E-38,0.1401298E-44,
 0.9695000E+03,0.6856000E+07,0.5040000E+06,0.2052987E+00,0.6528571E+00,0.1720038E-38,0.1401298E-44,
 0.9705000E+03,0.6856000E+07,0.5040000E+06,0.1987273E+00,0.6300000E+00,0.1720038E-38,0.1401298E-44,
 0.9715000E+03,0.6856000E+07,0.5040000E+06,0.2052828E+00,0.6483334E+00,0.1720038E-38,0.1401298E-44,
 0.9725000E+03,0.6856000E+07,0.5040000E+06,0.1886753E+00,0.6442857E+00,0.1720038E-38,0.1401298E-44,
 0.9735000E+03,0.6856000E+07,0.5040000E+06,0.2101010E+00,0.6650000E+00,0.1720038E-38,0.1401298E-44,
 0.9745000E+03,0.6856000E+07,0.5040000E+06,0.1942078E+00,0.6428571E+00,0.1720038E-38,0.1401298E-44,
 0.9755000E+03,0.6856000E+07,0.5040000E+06,0.2395454E+00,0.6416667E+00,0.1720038E-38,0.1401298E-44,
 0.9765000E+03,0.6856000E+07,0.5040000E+06,0.2321732E+00,0.6414286E+00,0.1720038E-38,0.1401298E-44,
 0.9775000E+03,0.6856000E+07,0.5040000E+06,0.2022121E+00,0.6383333E+00,0.1720038E-38,0.1401298E-44,
 0.9785000E+03,0.6856000E+07,0.5040000E+06,0.2119221E+00,0.6542857E+00,0.1720038E-38,0.1401298E-44,
 0.9795000E+03,0.6856000E+07,0.5040000E+06,0.2093853E+00,0.6485714E+00,0.1720038E-38,0.1401298E-44,
 0.9805000E+03,0.6856000E+07,0.5040000E+06,0.1736162E+00,0.6416667E+00,0.1720038E-38,0.1401298E-44,
 0.9815000E+03,0.6856000E+07,0.5040000E+06,0.2197489E+00,0.6285715E+00,0.1720038E-38,0.1401298E-44,
 0.9825000E+03,0.6856000E+07,0.5040000E+06,0.2174343E+00,0.6066667E+00,0.1720038E-38,0.1401298E-44,
 0.9835000E+03,0.6856000E+07,0.5040000E+06,0.2063983E+00,0.6457143E+00,0.1720038E-38,0.1401298E-44,
 0.9845000E+03,0.6856000E+07,0.5040000E+06,0.2207475E+00,0.6650000E+00,0.1720038E-38,0.1401298E-44,
 0.9855000E+03,0.6856000E+07,0.5040000E+06,0.2162597E+00,0.6514286E+00,0.1720038E-38,0.1401298E-44,
 0.9865000E+03,0.6856000E+07,0.5040000E+06,0.2013766E+00,0.6642857E+00,0.1720038E-38,0.1401298E-44,
 0.9875000E+03,0.6856000E+07,0.5040000E+06,0.2527273E+00,0.6316667E+00,0.1720038E-38,0.1401298E-44,
 0.9885000E+03,0.6856000E+07,0.5040000E+06,0.2289264E+00,0.6200000E+00,0.1720038E-38,0.1401298E-44,
 0.9895000E+03,0.6856000E+07,0.5040000E+06,0.2118384E+00,0.6133333E+00,0.1720038E-38,0.1401298E-44,
