Easting,Northing,Depth,PHI,Vsh
504000,6856000,904.09,0.254242424,0.74
504000,6856000,904.24,0.246181818,0.73
504000,6856000,904.39,0.243515152,0.7
504000,6856000,904.54,0.242,0.69
504000,6856000,904.7,0.242424242,0.75
504000,6856000,904.85,0.244484848,0.75
504000,6856000,905,0.234727273,0.72
504000,6856000,905.15,0.231333333,0.74
504000,6856000,905.3,0.238666667,0.75
504000,6856000,905.46,0.242424242,0.72
504000,6856000,905.61,0.258666667,0.72
504000,6856000,905.76,0.249818182,0.78
504000,6856000,905.91,0.253151515,0.8
504000,6856000,906.07,0.249515152,0.74
504000,6856000,906.22,0.244121212,0.74
504000,6856000,906.37,0.231818182,0.71
504000,6856000,906.52,0.225333333,0.72
504000,6856000,906.68,0.242787879,0.73
504000,6856000,906.83,0.254606061,0.82
504000,6856000,906.98,0.258545455,0.83
504000,6856000,907.13,0.250848485,0.8
504000,6856000,907.29,0.238242424,0.73
504000,6856000,907.44,0.238181818,0.69
504000,6856000,907.59,0.232727273,0.74
504000,6856000,907.74,0.226787879,0.7
504000,6856000,907.9,0.225818182,0.75
504000,6856000,908.05,0.240242424,0.84
504000,6856000,908.2,0.234363636,0.75
504000,6856000,908.35,0.227636364,0.71
504000,6856000,908.51,0.23,0.71
504000,6856000,908.66,0.233636364,0.7
504000,6856000,908.81,0.248242424,0.68
504000,6856000,908.96,0.261939394,0.7
504000,6856000,909.11,0.243575758,0.66
504000,6856000,909.27,0.224484848,0.63
504000,6856000,909.42,0.217575758,0.71
504000,6856000,909.57,0.216181818,0.68
504000,6856000,909.72,0.216363636,0.65
504000,6856000,909.88,0.234242424,0.72
504000,6856000,910.03,0.234969697,0.65
504000,6856000,910.18,0.229575758,0.67
504000,6856000,910.33,0.224969697,0.72
504000,6856000,910.49,0.241030303,0.7
504000,6856000,910.64,0.248181818,0.7
504000,6856000,910.79,0.243151515,0.72
504000,6856000,910.94,0.235818182,0.67
504000,6856000,911.1,0.224848485,0.65
