Depth,Vscale,Age,
  0.547398E+03, 0.495905E+00, 0.371978E+01,
  0.547551E+03, 0.499910E+00, 0.375270E+01,
  0.547703E+03, 0.502623E+00, 0.378562E+01,
  0.547855E+03, 0.502868E+00, 0.381853E+01,
  0.548008E+03, 0.502403E+00, 0.385145E+01,
  0.548160E+03, 0.504550E+00, 0.388437E+01,
  0.548313E+03, 0.509792E+00, 0.391729E+01,
  0.548465E+03, 0.516490E+00, 0.395021E+01,
  0.548617E+03, 0.523404E+00, 0.398313E+01,
  0.548770E+03, 0.529182E+00, 0.401604E+01,
  0.548922E+03, 0.533047E+00, 0.404896E+01,
  0.549075E+03, 0.535958E+00, 0.408188E+01,
  0.549227E+03, 0.539244E+00, 0.411480E+01,
  0.549379E+03, 0.542761E+00, 0.414772E+01,
  0.549532E+03, 0.545391E+00, 0.418064E+01,
  0.549684E+03, 0.546394E+00, 0.421356E+01,
  0.549837E+03, 0.546933E+00, 0.424647E+01,
  0.549989E+03, 0.548413E+00, 0.427939E+01,
  0.550141E+03, 0.546264E+00, 0.431231E+01,
  0.550294E+03, 0.537128E+00, 0.434523E+01,
  0.550446E+03, 0.526618E+00, 0.437815E+01,
  0.550599E+03, 0.519504E+00, 0.441107E+01,
  0.550751E+03, 0.515500E+00, 0.444398E+01,
  0.550903E+03, 0.513833E+00, 0.447690E+01,
  0.551056E+03, 0.514473E+00, 0.450982E+01,
  0.551208E+03, 0.516640E+00, 0.454274E+01,
  0.551361E+03, 0.518785E+00, 0.457566E+01,
  0.551513E+03, 0.520061E+00, 0.460858E+01,
  0.551665E+03, 0.520346E+00, 0.464149E+01,
  0.551818E+03, 0.519667E+00, 0.467441E+01,
  0.551970E+03, 0.518570E+00, 0.470733E+01,
  0.552123E+03, 0.518023E+00, 0.474025E+01,
  0.552275E+03, 0.518316E+00, 0.477317E+01,
  0.552427E+03, 0.518606E+00, 0.480609E+01,
  0.552580E+03, 0.518057E+00, 0.483900E+01,
  0.552732E+03, 0.516698E+00, 0.487192E+01,
  0.552885E+03, 0.515235E+00, 0.490484E+01,
  0.553037E+03, 0.514352E+00, 0.493776E+01,
  0.553189E+03, 0.514060E+00, 0.497068E+01,
  0.553342E+03, 0.514012E+00, 0.500360E+01,
  0.553494E+03, 0.514009E+00, 0.503652E+01,
  0.553647E+03, 0.514048E+00, 0.506943E+01,
  0.553799E+03, 0.514389E+00, 0.510235E+01,
  0.553951E+03, 0.515466E+00, 0.513527E+01,
  0.554104E+03, 0.517193E+00, 0.516819E+01,
  0.554256E+03, 0.519194E+00, 0.520111E+01,
  0.554409E+03, 0.521468E+00, 0.523403E+01,
  0.554561E+03, 0.524092E+00, 0.526694E+01,
  0.554713E+03, 0.526780E+00, 0.529986E+01,
  0.554866E+03, 0.529086E+00, 0.533278E+01,
  0.555018E+03, 0.530850E+00, 0.536570E+01,
  0.555171E+03, 0.532006E+00, 0.539862E+01,
  0.555323E+03, 0.532432E+00, 0.543154E+01,
  0.555475E+03, 0.532079E+00, 0.546445E+01,
  0.555628E+03, 0.530602E+00, 0.549737E+01,
  0.555780E+03, 0.527146E+00, 0.553029E+01,
  0.555933E+03, 0.522242E+00, 0.556321E+01,
  0.556085E+03, 0.518428E+00, 0.559613E+01,
  0.556237E+03, 0.517312E+00, 0.562905E+01,
  0.556390E+03, 0.518244E+00, 0.566196E+01,
  0.556542E+03, 0.519899E+00, 0.569488E+01,
  0.556695E+03, 0.521510E+00, 0.572780E+01,
  0.556847E+03, 0.522777E+00, 0.576072E+01,
  0.556999E+03, 0.523619E+00, 0.579364E+01,
  0.557152E+03, 0.523910E+00, 0.582656E+01,
  0.557304E+03, 0.523414E+00, 0.585948E+01,
  0.557457E+03, 0.521777E+00, 0.589239E+01,
  0.557609E+03, 0.519257E+00, 0.592531E+01,
  0.557761E+03, 0.517673E+00, 0.595823E+01,
  0.557914E+03, 0.516793E+00, 0.599115E+01,
  0.558066E+03, 0.512503E+00, 0.602407E+01,
  0.558219E+03, 0.503960E+00, 0.605699E+01,
  0.558371E+03, 0.495273E+00, 0.608990E+01,
  0.558523E+03, 0.488928E+00, 0.612282E+01,
  0.558676E+03, 0.484285E+00, 0.615574E+01,
  0.558828E+03, 0.480289E+00, 0.618866E+01,
  0.558981E+03, 0.477032E+00, 0.622158E+01,
  0.559133E+03, 0.474566E+00, 0.625450E+01,
  0.559285E+03, 0.471758E+00, 0.628741E+01,
  0.559438E+03, 0.468833E+00, 0.632033E+01,
  0.559590E+03, 0.467997E+00, 0.635325E+01,
  0.559743E+03, 0.470242E+00, 0.638617E+01,
  0.559895E+03, 0.474848E+00, 0.641909E+01,
  0.560047E+03, 0.480986E+00, 0.645201E+01,
  0.560200E+03, 0.486796E+00, 0.648492E+01,
  0.560352E+03, 0.490096E+00, 0.651784E+01,
  0.560505E+03, 0.491546E+00, 0.655076E+01,
  0.560657E+03, 0.493040E+00, 0.658368E+01,
  0.560809E+03, 0.494262E+00, 0.661660E+01,
  0.560962E+03, 0.494149E+00, 0.664952E+01,
  0.561114E+03, 0.492933E+00, 0.668244E+01,
  0.561267E+03, 0.491313E+00, 0.671535E+01,
  0.561419E+03, 0.490652E+00, 0.674827E+01,
  0.561571E+03, 0.492588E+00, 0.678119E+01,
  0.561724E+03, 0.497125E+00, 0.681411E+01,
