Easting,Northing,Depth,Age,Layer.sub,Vsh,Vca,Vcp,Vom,Vev,Vig,Vss,Porosity,K_{mD},PeHg_{MPa},Closure_{m},Vms,Shc,Sgas,Soil,GasColumn,OilColumn,Pc_Pe_{MPa},Pc_{MPa},GOC,OWC,FlowDirection,TotalPressure,LeakOffPressure,Temperature_{C},TWT,Vitrinite,Sublayer Thickness_{m},Sublayer Duration_{My}
   483250.00    ,  6845250.0    , -1892.3289    , -60.000000    ,  3.0060000    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.32600752    ,  1150.2468    , 0.46766922E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  36.166206    ,  30.175568    ,  77.268829    , -1892.3289    , 0.20189652    ,  14.909318    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1907.2383    , -61.000000    ,  3.0070000    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.32463974    ,  1100.0210    , 0.47461092E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  36.487984    ,  30.459824    ,  77.999382    , -1907.2383    , 0.20189652    ,  14.909308    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1922.1476    , -62.000000    ,  3.0079999    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.32327768    ,  1052.4503    , 0.48158556E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  36.809757    ,  30.744532    ,  78.729942    , -1922.1476    , 0.20189652    ,  14.909318    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1937.0569    , -63.000000    ,  3.0090001    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.32192135    ,  1007.3703    , 0.48859321E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  37.131527    ,  31.029692    ,  79.460495    , -1937.0569    , 0.20189652    ,  14.909308    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1951.9662    , -64.000000    ,  3.0100000    , 0.49999997E-01,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.94999999    , 0.32057068    ,  964.62787    , 0.49563400E-01,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  37.453300    ,  31.315310    ,  80.191048    , -1951.9662    , 0.20189652    ,  14.909318    ,  1.0000000    ,
   483250.00    ,  6845250.0    , -1966.8755    , -65.000000    ,  4.0009999    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.28508058    , 0.36788168E-02,  3.0431006    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  37.775070    ,  31.601376    ,  80.921616    , -1966.8755    , 0.20189652    ,  391.72681    ,  17.500000    ,
   483250.00    ,  6845250.0    , -2358.6023    , -82.500000    ,  4.0019999    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.23455545    , 0.13500211E-02,  4.2363086    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  46.229321    ,  39.280010    ,  100.11623    , -2358.6023    , 0.20189652    ,  391.72681    ,  17.500000    ,
   483250.00    ,  6845250.0    , -2750.3291    , -100.00000    ,  5.0009999    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.19298491    , 0.59499231E-03,  5.5515113    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  54.683571    ,  47.271687    ,  119.31084    , -2750.3291    , 0.20189652    ,  108.61882    ,  8.3333359    ,
   483250.00    ,  6845250.0    , -2858.9480    , -108.33334    ,  5.0019999    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.18282324    , 0.48565402E-03,  5.9362483    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  57.027782    ,  49.543068    ,  124.63317    , -2858.9480    , 0.20189652    ,  108.61882    ,  8.3333359    ,
   483250.00    ,  6845250.0    , -2967.5667    , -116.66667    ,  5.0029998    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.17319666    , 0.39989842E-03,  6.3293138    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  59.371990    ,  51.838512    ,  129.95549    , -2967.5667    , 0.20189652    ,  108.61880    ,  8.3333359    ,
