DEPTH,Northing,Easting,PHI,Vsh,Easting,Northing
  0.930500E+03, 0.685600E+07, 0.504000E+06, 0.217505E+00, 0.741667E+00, 0.172004E-38, 0.140130E-44,
  0.931500E+03, 0.685600E+07, 0.504000E+06, 0.237602E+00, 0.711429E+00, 0.172004E-38, 0.140130E-44,
  0.932500E+03, 0.685600E+07, 0.504000E+06, 0.244636E+00, 0.695000E+00, 0.172004E-38, 0.140130E-44,
  0.933500E+03, 0.685600E+07, 0.504000E+06, 0.236528E+00, 0.685714E+00, 0.172004E-38, 0.140130E-44,
  0.934500E+03, 0.685600E+07, 0.504000E+06, 0.238051E+00, 0.710000E+00, 0.172004E-38, 0.140130E-44,
  0.935500E+03, 0.685600E+07, 0.504000E+06, 0.231203E+00, 0.720000E+00, 0.172004E-38, 0.140130E-44,
  0.936500E+03, 0.685600E+07, 0.504000E+06, 0.215071E+00, 0.723333E+00, 0.172004E-38, 0.140130E-44,
  0.937500E+03, 0.685600E+07, 0.504000E+06, 0.253325E+00, 0.711429E+00, 0.172004E-38, 0.140130E-44,
  0.938500E+03, 0.685600E+07, 0.504000E+06, 0.264563E+00, 0.678571E+00, 0.172004E-38, 0.140130E-44,
  0.939500E+03, 0.685600E+07, 0.504000E+06, 0.214576E+00, 0.690000E+00, 0.172004E-38, 0.140130E-44,
  0.940500E+03, 0.685600E+07, 0.504000E+06, 0.229844E+00, 0.695714E+00, 0.172004E-38, 0.140130E-44,
  0.941500E+03, 0.685600E+07, 0.504000E+06, 0.223879E+00, 0.668333E+00, 0.172004E-38, 0.140130E-44,
  0.942500E+03, 0.685600E+07, 0.504000E+06, 0.239091E+00, 0.728571E+00, 0.172004E-38, 0.140130E-44,
  0.943500E+03, 0.685600E+07, 0.504000E+06, 0.222980E+00, 0.685000E+00, 0.172004E-38, 0.140130E-44,
  0.944500E+03, 0.685600E+07, 0.504000E+06, 0.222840E+00, 0.651429E+00, 0.172004E-38, 0.140130E-44,
  0.945500E+03, 0.685600E+07, 0.504000E+06, 0.275970E+00, 0.735000E+00, 0.172004E-38, 0.140130E-44,
  0.946500E+03, 0.685600E+07, 0.504000E+06, 0.203039E+00, 0.621428E+00, 0.172004E-38, 0.140130E-44,
  0.947500E+03, 0.685600E+07, 0.504000E+06, 0.212294E+00, 0.650000E+00, 0.172004E-38, 0.140130E-44,
  0.948500E+03, 0.685600E+07, 0.504000E+06, 0.206566E+00, 0.621667E+00, 0.172004E-38, 0.140130E-44,
  0.949500E+03, 0.685600E+07, 0.504000E+06, 0.197333E+00, 0.637143E+00, 0.172004E-38, 0.140130E-44,
  0.950500E+03, 0.685600E+07, 0.504000E+06, 0.200384E+00, 0.643333E+00, 0.172004E-38, 0.140130E-44,
