Layer,Strata,Age,Depth,VshStrata,VshLayer,VcaStrata,VcaLayer,VcpStrata,VcpLayer,VevStrata,VevLayer,VomStrata,VomLayer,VigStrata,VigLayer,YieldStrata,YieldLayer
  0.400000E+01, 0.100000E+01, 0.650000E+02, 0.000000E+00, 0.118029E+01, 0.418397E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.118029E+01, 0.418397E+00,
  0.400000E+01, 0.200000E+01, 0.825000E+02, 0.500000E+00, 0.819709E+00, 0.418397E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.819709E+00, 0.418397E+00,
  0.400000E+01, 0.300000E+01, 0.100000E+03, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.500000E+01, 0.100000E+01, 0.100000E+03, 0.000000E+00, 0.829202E+00, 0.210097E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.829202E+00, 0.210097E+00,
  0.500000E+01, 0.200000E+01, 0.108333E+03, 0.333333E+00, 0.137297E+01, 0.210097E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.137297E+01, 0.210097E+00,
  0.500000E+01, 0.300000E+01, 0.116667E+03, 0.666667E+00, 0.797828E+00, 0.210097E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.797828E+00, 0.210097E+00,
  0.500000E+01, 0.400000E+01, 0.125000E+03, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.600000E+01, 0.100000E+01, 0.125000E+03, 0.000000E+00, 0.111500E+01, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.111500E+01, 0.154319E+00,
  0.600000E+01, 0.200000E+01, 0.127125E+03, 0.125000E+00, 0.879803E+00, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.879803E+00, 0.154319E+00,
  0.600000E+01, 0.300000E+01, 0.129250E+03, 0.250000E+00, 0.113056E+01, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.113056E+01, 0.154319E+00,
