Filename,Type,Date,Time,Comment
migri-aliases.csv,Missing,20201105,142246.292,migri-aliases.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\MigriAlfa-2.mirp,Project,20201105,142246.292,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\MigriAlfa-2.mirp
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\MigriAlfa-2.mirg,Project,20201105,142246.292,MigriAlfa-2
strata.csv,Project,20201105,142246.292,strata.csv
migri-mysources_mirt.csv,Project,20201105,142246.292
migri-mysources.mirt,Project,20201105,142246.292
migri-output.csv,Project,20201105,142246.292
migri-aliases.csv,Missed,20201105,142246.292,
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\migri.mirx,Project,20201105,142246.292
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\migri.mirv,Project,20201105,142246.292
mwd.irap,Layer,20201105,142246.292
mtmj.irap,Layer,20201105,142246.292
mtmi.irap,Layer,20201105,142246.292
mtpa.irap,Layer,20201105,142246.292
mbte.irap,Layer,20201105,142246.292
mcr2.irap,Layer,20201105,142246.292
mcr1.irap,Layer,20201105,142246.292
mbcr.irap,Layer,20201105,142246.292
m143.irap,Layer,20201105,142246.292
mtmj.irap,Layer,20201105,142246.292
m174.irap,Layer,20201105,142246.292
m194.irap,Layer,20201105,142246.292
migri-mysources_mirt.csv,Table,20201105,142246.818,migri-mysources_mirt.csv
strata-hc.csv,Missing,20201105,142246.819,strata-hc.csv
migri-wells.csv,Missing,20201105,142246.820,migri-wells.csv
migri-logtraces.csv,Missing,20201105,142246.891,migri-logtraces.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\defaults\migri-logtraces.csv,Missing,20201105,142246.891,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\defaults/migri-logtraces.csv
migri-output.csv,Table,20201105,142247.770,migri-output.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\Browsetopics.mirp,Missing,20201105,142247.801,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\Browsetopics.mirp
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\migri-wells.csv,Missing,20201105,142247.825,C:/Users/areto/Downloads/MigriAlfa-main/MigriAlfa-main/MigriAlfa/db/migri-wells.csv
C:\Users\areto\CompanyData\kinetics\migri-kinetics.csv,Table,20201105,142247.954,C:\Users\areto/CompanyData/kinetics/migri-kinetics.csv
C:\Users\areto\CompanyData\kinetics\migri-kinetics-table.csv,Table,20201105,142247.957,C:\Users\areto/CompanyData/kinetics/migri-kinetics-table.csv
kinetics\migri-kinetics.csv,Missing,20201105,142247.978,kinetics/migri-kinetics.csv
migri-shortlist.csv,Missing,20201105,142249.126,migri-shortlist.csv
m174.irap,Grid,20201105,142249.188,m174.irap
Basemaps\npd_wells_quad35.csv,Table,20201105,142249.641,Basemaps\npd_wells_quad35.csv
Basemaps\npd_licences.pol,Polygons,20201105,142249.674,Basemaps\npd_licences.pol
Basemaps\npd_wells_quad35.csv,Table,20201105,142249.849,Basemaps\npd_wells_quad35.csv
m174.irap,Grid,20201105,142249.950,m174.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\calibration\wellsets.csv,Missing,20201105,142249.967,C:/Users/areto/Downloads/MigriAlfa-main/MigriAlfa-main/MigriAlfa/db/calibration/wellsets.csv
m174.irap,Grid,20201105,142249.968,m174.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\migri-wells.csv,Missing,20201105,142249.993,C:/Users/areto/Downloads/MigriAlfa-main/MigriAlfa-main/MigriAlfa/db/migri-wells.csv
stochastic\MigriAlfa-2-stochinfo.csv,Missing,20201105,142249.995,stochastic\MigriAlfa-2-stochinfo.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\defaults\stochastic\MigriAlfa-2-stochinfo.csv,Missing,20201105,142249.995,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\defaults/stochastic\MigriAlfa-2-stochinfo.csv
migri-scenarios.csv,Missing,20201105,142250.007,migri-scenarios.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m174.irap,Grid,20201105,142323.444,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m174.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m194.irap,Grid,20201105,142325.170,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m194.irap
m174.irap,Grid,20201105,142343.228,m174.irap
m194.irap,Grid,20201105,142343.232,m194.irap
m174.irap,Grid,20201105,142343.235,m174.irap
m194.irap,Grid,20201105,142343.237,m194.irap
m174.irap,Grid,20201105,142346.189,m174.irap
m194.irap,Grid,20201105,142346.192,m194.irap
m174.irap,Grid,20201105,142346.194,m174.irap
m194.irap,Grid,20201105,142346.196,m194.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mtmi.irap,Grid,20201105,142428.939,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mtmi.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mtpa.irap,Grid,20201105,142428.964,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mtpa.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mbte.irap,Grid,20201105,142428.984,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mbte.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mcr2.irap,Grid,20201105,142429.006,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mcr2.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mcr1.irap,Grid,20201105,142429.026,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mcr1.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mbcr.irap,Grid,20201105,142429.048,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mbcr.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m143.irap,Grid,20201105,142429.073,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m143.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mtmj.irap,Grid,20201105,142429.093,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\mtmj.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m174.irap,Grid,20201105,142429.115,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m174.irap
