Depth,Vscale,Age
559.4378,0.46883322,6.3203328
559.5902,0.467996599,6.3532512
559.7426,0.47024189,6.3861696
559.895,0.474847552,6.419088
560.0474,0.480986137,6.4520064
560.1998,0.486795501,6.4849248
560.3522,0.490095963,6.5178432
560.5046,0.491545565,6.5507616
560.657,0.493040182,6.58368
560.8094,0.494261946,6.6165984
560.9618,0.494148554,6.6495168
561.1142,0.492932537,6.6824352
561.2666,0.491312824,6.7153536
561.419,0.490651826,6.748272
561.5714,0.492588492,6.7811904
561.7238,0.497124557,6.8141088
561.8762,0.502994863,6.8470272
562.0286,0.509259365,6.8799456
562.181,0.514983064,6.912864
562.3334,0.519096291,6.9457824
562.4858,0.522073444,6.9787008
562.6382,0.525449415,7.0116192
562.7906,0.529394478,7.0445376
562.943,0.532436302,7.077456
563.0954,0.533380803,7.1103744
563.2478,0.532404659,7.1432928
563.4002,0.529256621,7.1762112
563.5526,0.52275987,7.2091296
563.705,0.515247285,7.242048
563.8574,0.511493326,7.2749664
564.0098,0.511632427,7.3078848
564.1622,0.512355305,7.3408032
564.3146,0.511954212,7.3737216
564.467,0.510980859,7.40664
564.6194,0.510316765,7.4395584
564.7718,0.509556942,7.4724768
564.9242,0.507959372,7.5053952
565.0766,0.505711524,7.5383136
565.229,0.50307898,7.571232
565.3814,0.49994253,7.6041504
565.5338,0.496575731,7.6370688
565.6862,0.493794985,7.6699872
565.8386,0.491941428,7.7029056
565.991,0.489959302,7.735824
566.1434,0.486577326,7.7687424
566.2958,0.481972579,7.8016608
566.4482,0.477847412,7.8345792
566.6006,0.475575567,7.8674976
566.753,0.474699303,7.900416
566.9054,0.473813633,7.9333344
567.0578,0.472049049,7.9662528
567.2102,0.469796181,7.9991712
567.3626,0.468076353,8.0320896
567.515,0.467171941,8.065008
567.6674,0.466553517,8.0979264
567.8198,0.465950412,8.1308448
567.9722,0.465499707,8.1637632
568.1246,0.464836692,8.1966816
568.277,0.462899862,8.2296
568.4294,0.459272994,8.2625184
568.5818,0.454963618,8.2954368
568.7342,0.451264221,8.3283552
568.8866,0.448538106,8.3612736
569.039,0.446563229,8.394192
569.1914,0.445513781,8.4271104
569.3438,0.445273181,8.4600288
569.4962,0.445025357,8.4929472
569.6486,0.444290164,8.5258656
569.801,0.443484835,8.558784
569.9534,0.443790786,8.5917024
570.1058,0.445368746,8.6246208
570.2582,0.446799301,8.6575392
570.4106,0.44735188,8.6904576
570.563,0.447517018,8.723376
570.7154,0.44887943,8.7562944
570.8678,0.45372656,8.7892128
571.0202,0.460546574,8.8221312
571.1726,0.463980882,8.8550496
571.325,0.461643475,8.887968
571.4774,0.456338345,8.9208864
571.6298,0.451591518,8.9538048
571.7822,0.448576763,8.9867232
571.9346,0.44710992,9.0196416
572.087,0.446426427,9.05256
572.2394,0.44579088,9.0854784
572.3918,0.445517933,9.1183968
572.5442,0.446356337,9.1513152
572.6966,0.448776571,9.1842336
572.849,0.452973681,9.217152
573.0014,0.457977153,9.2500704
573.1538,0.461990946,9.2829888
573.3062,0.463668199,9.3159072
573.4586,0.461666674,9.3488256
573.611,0.454990336,9.381744
573.7634,0.44567648,9.4146624
573.9158,0.436910136,9.4475808
574.0682,0.429515869,9.4804992
574.2206,0.424807042,9.5134176
574.373,0.427440032,9.546336
574.5254,0.443470221,9.5792544
574.6778,0.475028149,9.6121728
574.8302,0.515867913,9.6450912
574.9826,0.557482536,9.6780096
575.135,0.599299571,9.710928
575.2874,0.641160798,9.7438464
575.4398,0.676673031,9.7767648
575.5922,0.700816495,9.8096832
575.7446,0.712611761,9.8426016
575.897,0.71447951,9.87552
576.0494,0.708440126,9.9084384
576.2018,0.692587835,9.9413568
576.3542,0.668203748,9.9742752
576.5066,0.644176609,10.0071936
576.659,0.628339495,10.040112
576.8114,0.621271352,10.0730304
576.9638,0.620280969,10.1059488
577.1162,0.622212779,10.1388672
577.2686,0.62378715,10.1717856
577.421,0.626148179,10.204704
577.5734,0.634418381,10.2376224
577.7258,0.648958387,10.2705408
577.8782,0.664722854,10.3034592
578.0306,0.678945368,10.3363776
578.183,0.692186531,10.369296
578.3354,0.704342521,10.4022144
578.4878,0.713860219,10.4351328
578.6402,0.719757852,10.4680512
578.7926,0.724179048,10.5009696
578.945,0.732273698,10.533888
579.0974,0.74676123,10.5668064
579.2498,0.765497572,10.5997248
579.4022,0.785458586,10.6326432
579.5546,0.803231756,10.6655616
579.707,0.816355938,10.69848
579.8594,0.826821796,10.7313984
580.0118,0.837213483,10.7643168
580.1642,0.847095705,10.7972352
580.3166,0.855062584,10.8301536
580.469,0.860549694,10.863072
580.6214,0.863042856,10.8959904
580.7738,0.862609979,10.9289088
580.9262,0.862176186,10.9618272
581.0786,0.866802608,10.9947456
581.231,0.87806894,11.027664
581.3834,0.889668926,11.0605824
581.5358,0.895314935,11.0935008
581.6882,0.896313762,11.1264192
581.8406,0.89836389,11.1593376
581.993,0.907326828,11.192256
582.1454,0.923592104,11.2251744
582.2978,0.93755591,11.2580928
582.4502,0.941782529,11.2910112
582.6026,0.939877484,11.3239296
582.755,0.935472848,11.356848
582.9074,0.925807018,11.3897664
583.0598,0.908910065,11.4226848
583.2122,0.88861596,11.4556032
583.3646,0.868833197,11.4885216
583.517,0.857423917,11.52144
583.6694,0.856511834,11.5543584
583.8218,0.857094556,11.5872768
583.9742,0.856144965,11.6201952
584.1266,0.857020384,11.6531136
584.279,0.862177828,11.686032
584.4314,0.869523211,11.7189504
584.5838,0.871565762,11.7518688
584.7362,0.866852361,11.7847872
584.8886,0.861216087,11.8177056
585.041,0.85596723,11.850624
585.1934,0.848966949,11.8835424
585.3458,0.840612301,11.9164608
585.4982,0.836040557,11.9493792
585.6506,0.837305693,11.9822976
585.803,0.840166381,12.015216
585.9554,0.842170557,12.0481344
586.1078,0.841638244,12.0810528
586.2602,0.834691821,12.1139712
586.4126,0.822258286,12.1468896
586.565,0.810921958,12.179808
586.7174,0.804382116,12.2127264
586.8698,0.801031644,12.2456448
587.0222,0.796805025,12.2785632
587.1746,0.788151861,12.3114816
587.327,0.776573268,12.3444
587.4794,0.767711501,12.3773184
587.6318,0.7650133,12.4102368
587.7842,0.768529849,12.4431552
587.9366,0.776979874,12.4760736
588.089,0.786678051,12.508992
588.2414,0.792029837,12.5419104
588.3938,0.789890666,12.5748288
588.5462,0.782147616,12.6077472
588.6986,0.772998358,12.6406656
588.851,0.763802796,12.673584
589.0034,0.75473219,12.7065024
589.1558,0.748641059,12.7394208
589.3082,0.747096479,12.7723392
589.4606,0.74880486,12.8052576
589.613,0.752612043,12.838176
589.7654,0.75735195,12.8710944
589.9178,0.761484202,12.9040128
590.0702,0.763881096,12.9369312
590.2226,0.763389951,12.9698496
590.375,0.759221459,13.002768
590.5274,0.752364946,13.0356864
590.6798,0.744473716,13.0686048
590.8322,0.736155919,13.1015232
590.9846,0.726430626,13.1344416
591.137,0.713021323,13.16736
591.2894,0.695958293,13.2002784
591.4418,0.68085412,13.2331968
591.5942,0.671544439,13.2661152
591.7466,0.66269813,13.2990336
591.899,0.648731815,13.331952
592.0514,0.634865919,13.3648704
592.2038,0.628522249,13.3977888
592.3562,0.62825329,13.4307072
592.5086,0.632316061,13.4636256
592.661,0.643074711,13.496544
592.8134,0.655434637,13.5294624
592.9658,0.663782928,13.5623808
593.1182,0.678135441,13.5952992
593.2706,0.708869062,13.6282176
593.423,0.746118693,13.661136
593.5754,0.776842063,13.6940544
593.7278,0.79824698,13.7269728
593.8802,0.81073097,13.7598912
594.0326,0.819673782,13.7928096
594.185,0.830413525,13.825728
594.3374,0.840795477,13.8586464
594.4898,0.846736577,13.8915648
594.6422,0.848235275,13.9244832
594.7946,0.847096784,13.9574016
594.947,0.844917806,13.99032
595.0994,0.841641482,14.0232384
595.2518,0.835512913,14.0561568
595.4042,0.829579484,14.0890752
595.5566,0.830530764,14.1219936
595.709,0.837825479,14.154912
595.8614,0.845787784,14.1878304
596.0138,0.85216481,14.2207488
596.1662,0.857656142,14.2536672
596.3186,0.863634374,14.2865856
596.471,0.871606976,14.319504
596.6234,0.878723159,14.3524224
596.7758,0.878724144,14.3853408
596.9282,0.871666112,14.4182592
597.0806,0.863836527,14.4511776
597.233,0.859286716,14.484096
597.3854,0.857707021,14.5170144
597.5378,0.857423917,14.5499328
597.6902,0.857825291,14.5828512
597.8426,0.859243837,14.6157696
597.995,0.862668035,14.648688
598.1474,0.870093172,14.6816064
598.2998,0.880873214,14.7145248
598.4522,0.890213178,14.7474432
598.6046,0.895066032,14.7803616
598.757,0.896756374,14.81328
598.9094,0.897632427,14.8461984
599.0618,0.898970374,14.8791168
599.2142,0.900800943,14.9120352
599.3666,0.90244219,14.9449536
599.519,0.903332927,14.977872
599.6714,0.90342075,15.0107904
599.8238,0.903072576,15.0437088
599.9762,0.902470245,15.0766272
600.1286,0.901345992,15.1095456
600.281,0.899717436,15.142464
600.4334,0.898121086,15.1753824
600.5858,0.896818653,15.2083008
600.7382,0.895416293,15.2412192
600.8906,0.893820014,15.2741376
601.043,0.892744294,15.307056
601.1954,0.892433698,15.3399744
601.3478,0.892317351,15.3728928
601.5002,0.892382351,15.4058112
601.6526,0.892989913,15.4387296
601.805,0.894077221,15.471648
601.9574,0.895489738,15.5045664
602.1098,0.897422979,15.5374848
602.2622,0.900058314,15.5704032
602.4146,0.902964767,15.6033216
602.567,0.905428233,15.63624
602.7194,0.90793737,15.6691584
602.8718,0.914009829,15.7020768
603.0242,0.925987286,15.7349952
603.1766,0.939765687,15.7679136
603.329,0.94982637,15.800832
603.4814,0.954865755,15.8337504
603.6338,0.9567864,15.8666688
603.7862,0.958171143,15.8995872
603.9386,0.959713823,15.9325056
604.091,0.960083062,15.965424
604.2434,0.95908916,15.9983424
604.3958,0.958182449,16.0312608
604.5482,0.957311557,16.0641792
604.7006,0.955236143,16.0970976
604.853,0.951178907,16.130016
605.0054,0.943654547,16.1629344
605.1578,0.931014004,16.1958528
605.3102,0.912285543,16.2287712
605.4626,0.883134034,16.2616896
605.615,0.838309892,16.294608
605.7674,0.779324365,16.3275264
605.9198,0.71482053,16.3604448
606.0722,0.650086205,16.3933632
606.2246,0.587558842,16.4262816
606.377,0.534652929,16.4592
606.5294,0.494822242,16.4921184
606.6818,0.462863996,16.5250368
606.8342,0.437848702,16.5579552
606.9866,0.424123408,16.5908736
607.139,0.418587577,16.623792
607.2914,0.412972766,16.6567104
607.4438,0.404724989,16.6896288
607.5962,0.397126105,16.7225472
607.7486,0.392644437,16.7554656
607.901,0.389562408,16.788384
608.0534,0.383410288,16.8213024
608.2058,0.373003917,16.8542208
608.3582,0.361221459,16.8871392
608.5106,0.350031174,16.9200576
608.663,0.341341723,16.952976
608.8154,0.337971875,16.9858944
608.9678,0.339623701,17.0188128
609.1202,0.343929981,17.0517312
609.2726,0.351201684,17.0846496
609.425,0.362271891,17.117568
609.5774,0.374753231,17.1504864
609.7298,0.38638343,17.1834048
609.8822,0.397676761,17.2163232
610.0346,0.408872065,17.2492416
610.187,0.418224625,17.28216
610.3394,0.424124768,17.3150784
610.4918,0.427159555,17.3479968
610.6442,0.428195843,17.3809152
610.7966,0.425408224,17.4138336
610.949,0.4180209,17.446752
611.1014,0.409048674,17.4796704
611.2538,0.401429265,17.5125888
611.4062,0.39674915,17.5455072
611.5586,0.396119631,17.5784256
611.711,0.400190542,17.611344
611.8634,0.40846051,17.6442624
612.0158,0.418049893,17.6771808
612.1682,0.426010532,17.7100992
612.3206,0.431965588,17.7430176
612.473,0.436458282,17.775936
612.6254,0.438827332,17.8088544
612.7778,0.436882222,17.8417728
612.9302,0.42864439,17.8746912
613.0826,0.413661772,17.9076096
613.235,0.391361709,17.940528
613.3874,0.361081138,17.9734464
613.5398,0.326378715,18.0063648
613.6922,0.294526026,18.0392832
613.8446,0.271121226,18.0722016
613.997,0.259978912,18.10512
614.1494,0.263651099,18.1380384
614.3018,0.280603528,18.1709568
614.4542,0.305416786,18.2038752
614.6066,0.332642303,18.2367936
614.759,0.359579484,18.269712
614.9114,0.384827895,18.3026304
615.0638,0.406268654,18.3355488
615.2162,0.421921864,18.3684672
615.3686,0.431182098,18.4013856
615.521,0.43440121,18.434304
615.6734,0.431696207,18.4672224
615.8258,0.423870212,18.5001408
615.9782,0.414048415,18.5330592
616.1306,0.405604114,18.5659776
616.283,0.399067228,18.598896
616.4354,0.39271387,18.6318144
616.5878,0.384844855,18.6647328
616.7402,0.37429244,18.6976512
616.8926,0.360205719,18.7305696
617.045,0.34345176,18.763488
617.1974,0.328014755,18.7964064
617.3498,0.317985081,18.8293248
617.5022,0.313688654,18.8622432
617.6546,0.3131832,18.8951616
617.807,0.315136309,18.92808
617.9594,0.318611222,18.9609984
618.1118,0.32198046,18.9939168
618.2642,0.323855973,19.0268352
618.4166,0.324012714,19.0597536
618.569,0.322954352,19.092672
618.7214,0.322356196,19.1255904
618.8738,0.32412695,19.1585088
619.0262,0.328382867,19.1914272
619.1786,0.334556731,19.2243456
619.331,0.342434895,19.257264
619.4834,0.350827848,19.2901824
619.6358,0.35751418,19.3231008
619.7882,0.361182004,19.3560192
619.9406,0.361933218,19.3889376
620.093,0.359489151,19.421856
620.2454,0.35301018,19.4547744
620.3978,0.342925289,19.4876928
620.5502,0.331065516,19.5206112
620.7026,0.31923185,19.5535296
620.855,0.308833314,19.586448
621.0074,0.301291713,19.6193664
621.1598,0.296896578,19.6522848
621.3122,0.294442096,19.6852032
621.4646,0.294026905,19.7181216
621.617,0.297251437,19.75104
621.7694,0.303280289,19.7839584
621.9218,0.309349863,19.8168768
622.0742,0.314432103,19.8497952
622.2266,0.318740447,19.8827136
622.379,0.322080904,19.915632
622.5314,0.324131571,19.9485504
622.6838,0.324971875,19.9814688
622.8362,0.324554901,20.0143872
622.9886,0.322866482,20.0473056
623.141,0.320890878,20.080224
623.2934,0.31999423,20.1131424
623.4458,0.320543689,20.1460608
623.5982,0.321814009,20.1789792
623.7506,0.322627384,20.2118976
623.903,0.322231451,20.244816
624.0554,0.321964087,20.2777344
624.2078,0.323531984,20.3106528
624.3602,0.32588255,20.3435712
624.5126,0.326730619,20.3764896
624.665,0.324625062,20.409408
624.8174,0.319803992,20.4423264
624.9698,0.315071544,20.4752448
625.1222,0.313823626,20.5081632
625.2746,0.316954751,20.5410816
625.427,0.323048275,20.574
625.5794,0.330639769,20.6069184
625.7318,0.338447233,20.6398368
625.8842,0.344212146,20.6727552
626.0366,0.346124768,20.7056736
626.189,0.344754146,20.738592
626.3414,0.341744271,20.7715104
626.4938,0.338527128,20.8044288
626.6462,0.336249513,20.8373472
626.7986,0.335361544,20.8702656
626.951,0.335568952,20.903184
627.1034,0.336467101,20.9361024
627.2558,0.337948066,20.9690208
627.4082,0.339804204,21.0019392
627.5606,0.341882691,21.0348576
627.713,0.345019376,21.067776
627.8654,0.351502827,21.1006944
628.0178,0.363692782,21.1336128
628.1702,0.381434449,21.1665312
628.3226,0.401987052,21.1994496
628.475,0.424607047,21.232368
628.6274,0.455434942,21.2652864
628.7798,0.501468438,21.2982048
628.9322,0.555562314,21.3311232
629.0846,0.599575028,21.3640416
629.237,0.62615599,21.39696
629.3894,0.64361345,21.4298784
629.5418,0.66170946,21.4627968
629.6942,0.684002299,21.4957152
629.8466,0.707192254,21.5286336
629.999,0.721251061,21.561552
630.1514,0.721700898,21.5944704
630.3038,0.718031573,21.6273888
630.4562,0.717619244,21.6603072
630.6086,0.71590399,21.6932256
630.761,0.705593535,21.726144
630.9134,0.68212885,21.7590624
631.0658,0.646984636,21.7919808
631.2182,0.610095095,21.8248992
631.3706,0.582844315,21.8578176
631.523,0.569533063,21.890736
631.6754,0.567423307,21.9236544
631.8278,0.572337571,21.9565728
631.9802,0.583497948,21.9894912
632.1326,0.603219676,22.0224096
632.285,0.62940433,22.055328
632.4374,0.654186554,22.0882464
632.5898,0.67603786,22.1211648
632.7422,0.700652577,22.1540832
632.8946,0.728328493,22.1870016
633.047,0.752516268,22.21992
633.1994,0.770296662,22.2528384
633.3518,0.784862072,22.2857568
633.5042,0.791318078,22.3186752
633.6566,0.764655368,22.3515936
633.809,0.673448312,22.384512
633.9614,0.519929746,22.4174304
634.1138,0.341468626,22.4503488
634.2662,0.185058338,22.4832672
634.4186,0.10295508,22.5161856
634.571,0.105226244,22.549104
634.7234,0.14534374,22.5820224
634.8758,0.183033356,22.6149408
635.0282,0.209953086,22.6478592
635.1806,0.231059088,22.6807776
635.333,0.249884356,22.713696
635.4854,0.267236495,22.7466144
635.6378,0.282927048,22.7795328
635.7902,0.294911403,22.8124512
635.9426,0.302360583,22.8453696
636.095,0.308908728,22.878288
636.2474,0.316260984,22.9112064
636.3998,0.319578382,22.9441248
636.5522,0.313834721,22.9770432
636.7046,0.3001452,23.0099616
636.857,0.284738688,23.04288
637.0094,0.273621168,23.0757984
637.1618,0.269133823,23.1087168
637.3142,0.271726936,23.1416352
637.4666,0.281273135,23.1745536
637.619,0.294642396,23.207472
637.7714,0.304476273,23.2403904
637.9238,0.303670428,23.2733088
638.0762,0.291256152,23.3062272
638.2286,0.272638573,23.3391456
